product,grape,score,avg_price_liter
"Bodegas Ramon Bilbao Reserva,  Rioja DOCa",  Rioja Red Blend  ,89,114.67
"Envinate 'Palo Blanco', Canary  Islands",  White Blend  ,93,334.67
"Torres Purgatori, Costers  del Segre",  Carignan - Grenache - Syrah  ,90,228.0
"Finca Museum 'Museum'  Reserva, Cigales",  Tempranillo  ,88,122.67
"Costers del  Siurana Clos de l'Obac, Priorat DOCa",  Cabernet - Grenache - Merlot - Syrah  ,91,864.0
Ossian  Vinas Viejas Blanco Vino de la Tierra de Castilla y Leon,  Verdejo  ,91,220.0
"Bodega Vivaltus 'Vivaltus',  Ribera del Duero",  Red Blend  ,95,636.0
"Baron de Ley Gran Reserva, Rioja  DOCa",  Rioja Red Blend  ,89,170.67
"Pago de  los Capellanes Crianza, Ribera del Duero",  Tempranillo  ,90,170.67
"Torres Altos Ibericos  Crianza, Rioja DOCa",  Tempranillo  ,87,97.33
"Bodegas y Vinedos Artuke 'La  Condenada', Rioja DOCa",  Rioja Red Blend  ,95,554.67
"Terroir Al Limit  Soc. Lda. Les Tosses, Priorat DOCa",  Carignan (Carinena)  ,95,1254.67
"Raul Perez 'Sketch'  Blanco, Rias Baixas",  Albarino (Alvarinho)  ,92,408.0
"Bodegas Campo Viejo Gran Reserva,  Rioja DOCa",  Rioja Red Blend  ,88,146.67
"Artadi Valdegines, Alava",  Tempranillo  ,93,317.33
"Descendientes  de J. Palacios Moncerbal, Bierzo",  Mencia  ,94,749.33
"Bodegas Rafael  Palacios 'Louro' Godello, Valdeorras",  Godello  ,91,146.67
"Terroir Al Limit  Soc. Lda. l'Arbossar, Priorat DOCa",  Carignan - Grenache - Syrah  ,93.0,408.0
"Alvaro  Palacios Vi de Vila Gratallops, Priorat DOCa",  Red Blend  ,92.0,334.67
"Gulp / Hablo  Orange Verdejo - Sauvignon Blanc, Castilla La Mancha",  Sauvignon Blanc - Verdejo  ,88.0,97.33
"Bodegas Arzuaga  Navarro 'Arzuaga' Reserva, Ribera del Duero",  Tempranillo  ,91.0,285.33
"Garmon Continental  'Garmon', Ribera del Duero",  Tempranillo  ,93.0,342.67
LVP  Pink Sangria,  Sangria  ,,89.33
"CVNE Vina Real Crianza,  Rioja DOCa",  Rioja Red Blend  ,89.0,89.33
"Artadi Vinas de Gain, Alava",  Tempranillo  ,91.0,178.67
"Finca  Villacreces 'Pruno', Ribera del Duero",  Cabernet - Tempranillo  ,89.0,105.33
"Vatan Tinta de Toro, Toro,",  Tinta de Toro  ,92.0,269.33
"Paco & Lola Albarino,  Rias Baixas",  Albariño  ,89.0,114.67
"Bodegas del  Palacio de Fefinanes 'Albarino de Fefinanes', Rias Baixas",  Albarino (Alvarinho)  ,90.0,146.67
"Alvaro Palacios  Les Aubaguetes, Priorat DOCa",  Carinena - Garnacha  ,95.0,777.33
"Torres Pazo das  Bruxas Albarino, Rias Baixas",  Albariño  ,89.0,122.67
Bodega Pago Ayles 'Cuesta del Herrero'  Vino de Pago,  Red Blend  ,91.0,65.33
"Dominio do Bibei 'Lalama',  Ribeira Sacra",  Mencia  ,91.0,154.67
"Bodegas  Palacio 'Cosme Palacio' Vinedos en Altitud Crianza, Rioja DOCa",  Tempranillo  ,90.0,97.33
"Bodegas Muriel Reserva, Rioja DOCa",  Rioja Red Blend  ,89.0,114.67
"Matsu El Picaro, Toro,",  Tinta de Toro  ,87.0,73.33
"Torres Reserva Real, Penedes,",  Bordeaux Blend Red  ,93.0,978.67
"Oxer Bastegieta  Kalamity, Rioja Doca",  Rioja Red Blend  ,94.0,741.33
